name,componente,codigo_cmn,n_decreto,categoria,fecha_decreto,nombre,codigo_raiz,observacion_division_politica_administrativa,tipo_de_decreto,fecha_de_publicacion_en_el_diario_oficial,superficie_oficial_en_hectareas,superficie_oficial_en_metros_cuadrados,lon,lat
Maestranza de Ferrocarriles San Eugenio y edificaciones anexas,Tornamesa N° 2,01043_MH_13106,2050,Monumento Histórico,23-10-2007,Maestranza de Ferrocarriles San Eugenio y edificaciones anexas,01040_MH_13106,Sin Observaciones,Decreto Exento,0:00:00,0,0,-70.67481234,-33.47541728
Maestranza de Ferrocarriles San Eugenio y edificaciones anexas,Chimenea Industrial,01046_MH_13106,2050,Monumento Histórico,23-10-2007,Maestranza de Ferrocarriles San Eugenio y edificaciones anexas,01040_MH_13106,Sin Observaciones,Decreto Exento,0:00:00,0,0,-70.67574786,-33.47603455
"Casas patronales, bodegas y parque del ex Fundo  El Salto o Palacio Riesco",Palacio,00579_MH_13107,373,Monumento Histórico,28-07-1992,"Casas patronales, bodegas y parque del ex Fundo  El Salto o Palacio Riesco",No aplica,Sin Observaciones,Decreto Supremo,09-09-1992,0,0,-70.62289396,-33.3940329
Iglesia y Convento Buen Pastor,Iglesia,00092_MH_13108,1902,Monumento Histórico,11-10-1972,Iglesia y Convento Buen Pastor,No aplica,Sin Observaciones,Decreto Supremo,22-11-1972,0,0,-70.66009283,-33.4263199
Iglesia y Convento Buen Pastor,Convento,00093_MH_13108,1902,Monumento Histórico,11-10-1972,Iglesia y Convento Buen Pastor,No aplica,Sin Observaciones,Decreto Supremo,22-11-1972,0,0,-70.65994326,-33.426236
Capilla del Antiguo Lazareto de San Vicente de Paul,No aplica,00267_MH_13108,73,Monumento Histórico,12-01-1981,Capilla del Antiguo Lazareto de San Vicente de Paul,No aplica,Sin Observaciones,Decreto Supremo,08-05-1981,0,0,-70.65399625,-33.41947
Iglesia y patios del Monasterio del Carmen de San Rafael,No aplica,00341_MH_13108,1412,Monumento Histórico,24-11-1983,Iglesia y patios del Monasterio del Carmen de San Rafael,No aplica,Sin Observaciones,Decreto Supremo,03-02-1984,0,0,-70.65330398,-33.4292901
Bodega de vinos Ex-Viña San Carlos (bodega y parque),No aplica,00645_MH_13201,534,Monumento Histórico,20-09-1995,Bodega de vinos Ex-Viña San Carlos (bodega y parque),No aplica,Sin Observaciones,Decreto Exento,09-10-1995,0,0,-70.57572004,-33.59811877
Cervecería de Andrés Ebner,No aplica,00383_MH_13108,646,Monumento Histórico,26-10-1984,Cervecería de Andrés Ebner,No aplica,Sin Observaciones,Decreto Supremo,13-12-1984,"0,4359",4359,-70.65487354,-33.42411976
Capilla Nuestra Señora del Trabajo,No aplica,00760_MH_13302,218,Monumento Histórico,06-08-1999,Capilla Nuestra Señora del Trabajo,No aplica,Sin Observaciones,Decreto Exento,19-08-1999,0,0,-70.76554209,-33.24241952
